title,location,area,bed,bath,price
ขายบ้านเดี่ยว หลังใหญ่ มบ. ปรีชา ซ. ราม 158 ต้นโครงการ สระว่ายน้ำส่วนตัว ใกล้ BTS สายสีส้ม  โทร 085-161-9569 (BQ11-300),"สะพานสูง, สะพานสูง, กรุงเทพมหานคร",298 ตร.ว.,5,6,"55,000,000"
ขาย บ้านเดี่ยว หลังมุม The Plant Exclusique พัฒนาการ - อ่อนนุช บิวท์อินสวย ใกล้ทองหล่อ BTS อ่อนนุช โทร 085-161-9569 (BG13-61),"พัฒนาการ, สวนหลวง, กรุงเทพมหานคร",60.5 ตร.ว.,3,3,"12,900,000"
ขายบ้านเดี่ยว ตกแต่งตามหลักฮวงจุ้ย หลังมุมใกล้สวน พัฒนาการ 38 อ่อนนุช 39 แถมฟรี!อ่างจากุชชี่ในสวน โทร. 085-161-9569  (BA19-58),"พัฒนาการ, สวนหลวง, กรุงเทพมหานคร",58.3 ตร.ว.,3,2,"12,500,000"
บ้านเดี่ยว 2 ชั้น 50 ตร. ว. หมู่บ้านนลิน เรสซิเดนซ์ ซอยหทัยราชฏร์29/1 ถนนหทัยราษฏร์,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",50 ตร.ว.,3,3,"4,200,000"
ขายบ้านเดี่ยว2ชั้นหลังมุม ย่านพัฒนาการ แสนสิริ พัฒนาการ ระดับSuper Luxury โครงการ Flagship จากแสนสิริ,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",232 ตร.ว.,5,6,"189,000,000"
Breathtaking Resort Style House With Private Pool In Lakewood,"บางนาใต้, บางนา, กรุงเทพมหานคร",491.1 ตร.ว.,3,4,"55,000,000"
ขายถูก บ้านแฝด ชั้นเดียว หมู่บ้าน นันทวัน 10 ซอย เลียบวารี 37 คู้ขวา หนองจอก  40.2  ตรว หลังริม ปรับปรุงใหม่ ต่อเติมห้องด้านหน้าบ้านคุ้มค่า ราคาโดนใจ  ทำเล คู้ขวา หนองจอก,"โคกแฝด, หนองจอก, กรุงเทพมหานคร",40.3 ตร.ว.,2,1,"1,890,000"
บ้านเดี่ยว ม. นันทวัน วัชรพล เชื่อมต่อหลายเส้นทาง ถ. รามอินทรา ถ. สายไหม และ ถ. พหลโยธิน,"ท่าแร้ง, บางเขน, กรุงเทพมหานคร",53.3 ตร.ว.,3,3,"5,490,000"
บ้านเดี่ยว ม. บุณฑริก วัชรพล-สุขาภิบาล5 เชื่อมต่อ ถ. รามอินทรา ถ. สายไหม และ ถ. พหลโยธิน,"ท่าแร้ง, บางเขน, กรุงเทพมหานคร",81.3 ตร.ว.,3,2,"4,790,000"
บ้านเดี่ยว ม. บูรพา12 ดอนเมือง บนทำเลดีที่สุด ใกล้ รถไฟฟ้าสายสีแดง สถานีดอนเมือง,"สีกัน, ดอนเมือง, กรุงเทพมหานคร",50 ตร.ว.,4,2,"4,990,000"
ราคาพิเศษ!!! ขายถูก บ้านเดี่ยว 2 ชั้น หมู่บ้าน เนเบอร์โฮม วัชรพล ถนนสุขาภิบาล5   รีโนเวทใหม่หมดทั้งหลัง ตกแต่งสวย เดินทางสะดวก พร้อมเข้าอยู่,"สายไหม, สายไหม, กรุงเทพมหานคร",67.3 ตร.ว.,4,3,"5,500,000"
บ้านเดี่ยว ม. เมืองดี พุทธมณฑลสาย 2 ใกล้ทางคู่ขนานลอยฟ้าบรมราชชนนี และ เซ็นทรัลปิ่นเกล้า,"ศาลาธรรมสพน์, ทวีวัฒนา, กรุงเทพมหานคร",63.5 ตร.ว.,3,2,"5,190,000"
ขายถูก บ้านเดี่ยว 2 ชั้น หมู่บ้านชัยพฤกษ์ วัชรพล พื้นที่ใช้สอยเยอะ ต่อเติมพร้อมอยู่ เดินทางสะดวก ติดถนนสุขาภิบาล 5 ออเงิน สายไหม ใกล้โรงเรียนสารสาสน์วิเทศสายไหม ทางด่วนเอกมัย-รามอินทรา,"ออเงิน, สายไหม, กรุงเทพมหานคร",50.5 ตร.ว.,4,4,"4,500,000"
ขายถูก บ้านเดี่ยว 2 ชั้น แปลงมุม พื้นที่ใช้สอยเยอะ เดอะ แพลนท์ ซิมพลีส พหลโยธิน-สายไหม เดินทางสะดวก ติดถนนใหญ่ ถนนสายไหม ใกล้จุดขึ้น-ลง ถนนวงแหวนกาญจนาภิเษก,"สายไหม, สายไหม, กรุงเทพมหานคร",58.3 ตร.ว.,3,3,"5,900,000"
บ้านเดี่ยว ม. ลัดดารมย์ วัชรพล เชื่อมต่อหลายเส้นทาง ถ. รามอินทรา ถ. สายไหม และ ถ. พหลโยธิน,"คลองถนน, สายไหม, กรุงเทพมหานคร",86 ตร.ว.,4,4,"8,990,000"
บ้านเดี่ยว ม. โนเบิลวานา ปิ่นเกล้า1 หน้าโครงการติดถนนใหญ่บรมราชชนนี ใกล้ ม. มหิดล,"ศาลาธรรมสพน์, ทวีวัฒนา, กรุงเทพมหานคร",65.5 ตร.ว.,4,4,"6,990,000"
หมู่บ้าน พาร์คเวย์ ชาเล่ย์ (หลังมุม 83 ตรว) สนใจ id pop21730 เจ้าของขายเอง (ไม่รับนายหน้าและทำโฆษณาครับ),"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",83 ตร.ว.,4,3,"8,900,000"
ขาย บ้านเดี่ยว เศรษฐสิริ กาญจนา 114 ตร. ว หลังมุม ถนนเมน ต้นโครงการ เยื้องส่วนกลาง บ้านใหม่ สภาพดี ไม่เคยเข้าอยู่ พร้อมใช้งาน ใกล้ทางด่วน เดอะ พาซิโอ พาร์ค สะดวกเดินทาง ชีวิตง่ายขึ้น แถมผ้าม่าน PASAYA ทั้งหลัง มูลค่า 5 แสน ฟรี!! ขายเพียง 18.5 ล้านบาท,"ศาลาธรรมสพน์, ทวีวัฒนา, กรุงเทพมหานคร",113.8 ตร.ว.,4,4,"18,500,000"
บ้านเดี่ยว แกรนดิโอ เพชรเกษม 81 หลังมุม Grandio PhetKasem 81 ขนาด 61.3 ตร. ว สภาพใหม่มาก,"หนองแขม, หนองแขม, กรุงเทพมหานคร",61.3 ตร.ว.,4,4,"10,200,000"
ขายบ้านเดี่ยว2ชั้น ณุศาศิริ สุขุมวิท 103 ถนนเฉลิมพระเกียรติ ร. 9แขวงหนองบอน เขตประเวศ(ขายพร้อมผู้เช่า),"ประเวศ, ประเวศ, กรุงเทพมหานคร",162 ตร.ว.,4,4,"27,900,000"
ขายบ้านเช่า พร้อมที่ดิน 134 ตารางวา มีคนเช่าเต็มทุกหลัง ราคา 12 ลบ.,"ศุภาลัย ซิติ้รีสอร์ท สถานีรถไฟฟ้าแบริ่ง สุขุมวิท 105, บางนาใต้, บางนา, กรุงเทพมหานคร",134 ตร.ว.,3,3,"12,000,000"
หมู่บ้านโกลเหมู่บ้านโกลเด้นนีโอ บางนา-สวนหลวงด้นนีโอ บางนา-สวนหลวง,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",36 ตร.ว.,4,3,"6,500,000"
ขาย บ้านแฝด 2 ชั้น สไตล์บ้านเดี่ยว หมู่บ้าน พร้อมพัฒน์ 1 ถนน ปัญญาอินทรา เลียบคลองสอง คลองสามวา กรุงเทพมหานคร ใกล้ ซาฟารีเวิลด์ คู้บอน หทัยราษฎร์ 39,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร","85,439.2 ตร.ว.",3,2,"2,990,000"
ขายบ้านโครงการโกลเด้นทาวน์ บางนา-สวนหลวง 2,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",16.5 ตร.ว.,3,3,"3,560,000"
บ้านเดี่ยว 2 ชั้น 67 ตรว. หมู่บ้านเพอร์เฟค เพลส ถนนรามคำแหง,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",43 ตร.ว.,4,3,"6,690,000"
ขายบ้านมือสอง ลาดพร้าว-โชคชัย4 ทำเลดีอยู่ต้นซอย รถไฟฟ้า และทางด่วน ใกล้ถนนรัชดาภิเษก,"ลาดพร้าว, ลาดพร้าว, กรุงเทพมหานคร",56 ตร.ว.,3,2,"6,870,000"
ขายถูกมาก บ้านเดี่ยว เนื้อที่ 50 ตารางวา  ม. ฟลอร่าวิลล์  สุวินทวงศ์ 38  ทำเลใกล้ มีนบุรี นิมิตรใหม่ ร่มเกล้า ลาดกระบัง หนองจอก คู้ซ้าย คู้ขวา เชื่อมสัมพันธ์ เจ้าคุณทหาร ฉลองกรุง นิคมอุตสาหกรรมลาดกระบัง ถนนกรุงเทพกรีฑาตัดใหม่ สนามบินสุวรรณภูมิ,"หนองจอก, หนองจอก, กรุงเทพมหานคร","62,008.1 ตร.ว.",4,3,"3,100,000"
> บ้านเดี่ยว54ตรว. ถนนกัลปพฤกษ์ NIRVANA SATHORN ใกล้สวนและสระว่ายน้ำ ใกล้สาทร ใกล้รถไฟฟ้า แบบบ้านmodern พื้นที่ใช้สอยมาก     หมู่บ้านเนอวานาสาทร ติดถนนกัลปพฤกษ์ ใกล้สีลม สาทร big c makro,"เดอะ เลค กัลปพฤกษ์ – วุฒากาศ, บางหว้า, ภาษีเจริญ, กรุงเทพมหานคร",54 ตร.ว.,4,3,"11,500,000"
บ้านอาร์เค บ้านลาดกระบัง บ้านร่มเกล้า บ้านมือสองพร้อมอยู่ หมู่บ้านอาร์เคพาร์ค เดินทางสะดวก,"ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",54 ตร.ว.,5,3,"5,300,000"
ขายบ้านเดี่ยว 2ชั้น 5นอน ซ. พหลโยธิน24 ใกล้BTSพหลโยธิน24 เพียง300เมตรสร้างปี2561,"ลาเมซอง พหลโยธิน 24, จอมพล, จตุจักร, กรุงเทพมหานคร",44 ตร.ว.,3,2,"16,900,000"
ขายบ้านแฝดศุภาลัยวิลล์ อ่อนนุช-สวนหลวง ถ. เฉลิมพระเกียรติ ร. 9 ซอย62,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",38 ตร.ว.,6,5,"4,750,000"
ขายบ้านเดี่ยว 153 ตร. ว Perfect Masterpiece Sukhumvit 77 เพอร์เฟค มาสเตอร์พีซ สุขุมวิท 77 บ้านหรู สุขุมวิท ใกล้วงแหวน สนามบิน มอเตอร์เวย์,"ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",153.5 ตร.ว.,3,2,"25,900,000"
ขายบ้านเดี่ยว2ชั้น  78 ตรว. ภายในซอยอุดมสุข 26,"บางนาเหนือ, บางนา, กรุงเทพมหานคร",78 ตร.ว.,4,2,"10,500,000"
ขายบ้าน อยู่ติดถนนเพชรบุรี ห่างจากบ้านมนังคศิลา150 เมตร พื้นที่ 143 ตารางวา ราคา 71.5 ลบ.,"ถนนเพชรบุรี, ราชเทวี, กรุงเทพมหานคร",143 ตร.ว.,5,4,"71,500,000"
บ้านเดี่ยว ภัสสร 19 วัชรพล-วงแหวน (จตุโชติ) พื้นที่ 58 ตร. ว. ซ. 52  ถ. จตุโชติ  แขวงออเงิน เขตสายไหม กรุงเทพฯ,"ออเงิน, สายไหม, กรุงเทพมหานคร",58 ตร.ว.,3,3,"4,600,000"
ขายถูกมาก บ้านเดี่ยว 2 ชั้น หมู่บ้านฟลอร่าวิลล์  สุวินทวงศ์ 38 เนื้อที่ 50 ตารางวา 3 ห้องนอน  2 ห้องน้ำ ลำผักชี หนองจอก กรุงเทพ มหาวิทยาลัยเกษมบัณฑิต โรงพยาบาลเสรีรักษ์,"หนองจอก, หนองจอก, กรุงเทพมหานคร",50 ตร.ว.,3,2,"3,100,000"
บ้านเดี่ยว 2 ชั้น  110.8 ตร. ว. หมู่บ้านศุภาลัยพรีมาวิลล่า พุทธมณฑลสาย3 ติดถนนพุทธมณฑล สาย3,"ศาลาธรรมสพน์, ทวีวัฒนา, กรุงเทพมหานคร",110.8 ตร.ว.,3,4,"13,500,000"
บ้านเดี่ยว 2 ชั้น  105.9 ตร. ว. หมู่บ้านฮาบิเทีย รามอินทรา2 แยกซาฟารีเวิลด์ (เลียบคลองสอง) ถนนรามอินทรา,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",106 ตร.ว.,3,3,"6,200,000"
Golden Neo Bangna-Suanluang | Fabulous Semi-Detached House in Excellent Environment,"บางนาใต้, บางนา, กรุงเทพมหานคร",35.8 ตร.ว.,5,4,"6,500,000"
ขายคฤหาสน์ โครงการลดาวัลย์ ปิ่นเกล้า- ถนนบรมราชชนนี (Laddawan Pinklao-Baromrachachonnanee) 461 ตารางวา ขายถูกกว่าราคาประเมินธนาคาร,"ศาลาธรรมสพน์, ทวีวัฒนา, กรุงเทพมหานคร",461.1 ตร.ว.,3,3,"30,980,000"
ขาย บ้านเดี่ยว 2 ชั้น  รีโนเวทใหม่ พร้อมอยู่  บ้านสวยมาก หมู่บ้าน ลัดดาวัลย์ คู้คลองสิบ ซอย11 คู้ซ้าย หนองจอก กรุงเทพมหานคร,"หนองจอก, หนองจอก, กรุงเทพมหานคร","55,007.2 ตร.ว.",4,5,"3,300,000"
ขายบ้านเดี่ยว 3 ชั้น ซอยพัฒนาการ 50 ถนนพัฒนาการ แขวง/เขตสวนหลวง  กรุงเทพ,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",60 ตร.ว.,3,3,"14,000,000"
ขาย หมู่บ้าน เอ. ซี. เฮ้าส์ สายไหม  (มุมใน) ทำเลดีมากติดถนนสายไหม  ขายบ้านเดี่ยวสายไหม เอ. ซี. เฮ้าส์ สายไหม ซอย1 มุมใน 👉🏻รายละเอียด เนื้อที่ 64.3 ตร. ว. 3 ห้องนอน 3 ห้องน้ำ  ☀️จากถนนสายไหม 200เมตรทำเลดี ต้นซอย1 มุมใน,"สายไหม, สายไหม, กรุงเทพมหานคร","85,547.2 ตร.ว.",5,4,"5,500,000"
ขายบ้านเดี่ยวนันทวัน วัชรพล (Nantawan Watcharapol)128ตารางวา ขายต่ำกว่าทุน7ล้านบาท,"ออเงิน, สายไหม, กรุงเทพมหานคร",128 ตร.ว.,6,5,"13,480,000"
บ้านเดี่ยว ม. เศรณี คาซ่า ดอนเมือง ใกล้ สนามบินดอนเมือง และ ทางด่วน ศรีสมาน,"สีกัน, ดอนเมือง, กรุงเทพมหานคร",56.3 ตร.ว.,6,6,"6,490,000"
ขายบ้านหรู 3ชั้น ทำเลทอง สุขุมวิท ซ. 4 ใกล้BTSนานา 195 ตร. ว. 6นอน พร้อมอยู่,"คลองเตย, คลองเตย, กรุงเทพมหานคร",293.8 ตร.ว.,4,2,"199,000,000"
ขาย บ้านเดี่ยว สัมมากร นิมิตใหม่ 60 ตรว สวนสวย มีต่อเติม พร้อมอยู่ ทำเลดี นิมิตรใหม่ คลองสามวา ใกล้ห้างแฟชั่น,"สามวาตะวันออก, คลองสามวา, กรุงเทพมหานคร",60 ตร.ว.,5,6,"4,250,000"
BAAN SANSIRI PATTANAKARN - 661 sqm - For Rent : 450 000 thb - For Sale : 147 000 000 thb - 5 Bedrooms,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",165.3 ตร.ว.,3,2,"147,000,000"
ขายบ้านเดี่ยว หมู่บ้าน Inizio พระราม 2 ซอยบางกระดี่ 35/1 ถนนพระราม 2 เขตบางขุนเทียน กรุงเทพมหานคร,"แสมดำ, บางขุนเทียน, กรุงเทพมหานคร",58.3 ตร.ว.,3,3,"4,290,000"
ขายถูก บ้านเดี่ยว โรยัล ปาร์ค วิลล์ สุวินทวงศ์ 67 ตรว หลังริม ต้นโครงการ ร่มรื่น คุ้มค่า ราคาโดนใจ  ทำเล สุวินทวงศ์ หนองจอก,"ลำผักชี, หนองจอก, กรุงเทพมหานคร",67 ตร.ว.,3,2,"3,690,000"
ขาย บ้านเดี่ยว 2 ชั้น ม พร้อมพัฒน์ 1 ถนน ปัญญาอินทรา เลียบคลองสอง คลองสามวา กรุงเทพมหานคร *บ้านอยู่แถวเลียบคลองสอง เลี้ยวขวาเข้าไปในซาฟารีเวิร์ล บ้านทำเลดี #หมู่บ้านพร้อมพัฒน์1#ขายบ้านเดี่ยว2ชั้น ซาฟารีเวิล์ด ใกล้เลียบคลองสอง คู้บอน หทัยราษฎร์,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร","91,440 ตร.ว.",4,4,"3,200,000"
บ้านเดี่ยว ม. ปรัชญาการ์เด้นโฮม สุคนธสวัสดิ์ ใกล้รถไฟฟ้าสายสีน้ำตาล สถานีโรงเรียนสตรีวิทยา2,"ลาดพร้าว, ลาดพร้าว, กรุงเทพมหานคร",56 ตร.ว.,5,4,"8,690,000"
ขายบ้านท่าพระ 53ตารางวาซอยเพชรเกษม3 วงเวียนใหญ่ ใกล้สี่แยกและ MRT ท่าพระ,"วัดท่าพระ, บางกอกใหญ่, กรุงเทพมหานคร",53 ตร.ว.,6,5,"6,500,000"
ขาย อาคารพาณิชย์ 6 ชั้น ขนาด 23 ตารางวา 6 ห้องนอน 5 ห้องน้ำ โฮมออฟฟิศ ซอยลาซาล โรงเรียนนานาชาติบางกอกพัฒนา เมกกะบางนา ซีคอนสแควร์ แบริ่ง สำโรง บางนาตราด รพ. ไทยนครินทร์ โลตัสบางนา,"บางนาใต้, บางนา, กรุงเทพมหานคร",23 ตร.ว.,5,8,"9,700,000"
ขาย บ้านเดี่ยว หลังใหญ่ 105 ตรว สุขุมวิท65 คุ้มค่า ราคาโดนใจ ทำเลดี เข้าออกได้หลายทาง สุขุมวิท65 เอกมัย ปรีดีพนมยงค์ ใกล้ทางด่วน รถไฟฟ้า,"พระโขนงเหนือ, วัฒนา, กรุงเทพมหานคร",105 ตร.ว.,4,4,"3,450,000"
บ้านเดี่ยว 2 ชั้น 70.5 ตารางวา,"ทุ่งครุ, ทุ่งครุ, กรุงเทพมหานคร",33.8 ตร.ว.,3,2,"4,500,000"
ขายบ้านเดี่ยวหมู่บ้านหรรษา 58.5ตรว. เพชรเกษม 81/6 ตกแต่งภายในสวยงาม ใกล้สำนักงานที่ดินหนองแขม,"หนองค้างพลู, หนองแขม, กรุงเทพมหานคร",58.5 ตร.ว.,5,2,"3,500,000"
ขาย บ้านเดี่ยว 2 ชั้น ม. เคซี การ์เด้นโฮม 8 รีโนเวทใหม่ พร้อมอยู่ ด้านหลังวิวทุ่งนา บรรยากาศดี 51 ตร. ว. 3 นอน 2 น้ำ นิมิตใหม่ 40 สามวาตะวันออก คลองสามวา มีนบุรี,"สามวาตะวันออก, คลองสามวา, กรุงเทพมหานคร","58,634.7 ตร.ว.",3,2,"2,990,000"
ขายถูกมาก บ้านเดี่ยว เนื้อที่ 50 ตารางวา  ม. ฟลอร่าวิลล์  สุวินทวงศ์ 38 ใกล้ มีนบุรี นิมิตรใหม่ ร่มเกล้า ลาดกระบัง หนองจอก คู้ซ้าย คู้ขวา เชื่อมสัมพันธ์ เจ้าคุณทหาร ฉลองกรุง นิคมอุตสาหกรรมลาดกระบัง ถนนกรุงเทพกรีฑาตัดใหม่ สนามบินสุวรรณภูมิ,"หนองจอก, หนองจอก, กรุงเทพมหานคร","57,007.5 ตร.ว.",3,2,"2,850,000"
บ้านเดี่ยวชั้นเดียวมีนบุรี   หมู่บ้านกิตติชัย  ประชาร่วมใจ51,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",38 ตร.ว.,3,2,"1,690,000"
"ขาย บ้านแฝด สไตล์บ้านเดี่ยว หมู่บ้าน พัฒนาสิริ เดอะไพร์ด รีโนเวทใหม่ ถนนเลียบคลองสอง คลองสามวา ใกล้ห้าง แฟชั่นไอร์แลนด์  ซาฟารีเวิลด์ ตลาดน้ำวัดพระยาสุเรนทร์ ตลาดน้ำขวัญ-เรียม, ตลาดสดหทัยมิตร หทัยราษฎร์ นิมิตใหม่ มีนบุรี วงแหวนรอบนอก ปัญญาอินทรา รามอินทรา","บางชัน, คลองสามวา, กรุงเทพมหานคร","92,183.1 ตร.ว.",3,3,"3,650,000"
Single House in Sukhumvit 65 - 4 beds 6 baths for rent/sale,"พระโขนง, คลองเตย, กรุงเทพมหานคร",175 ตร.ว.,4,6,"52,000,000"
ขายบ้านเดี่ยว 2 ชั้น ม. บลูลากูน บางนา – วงแหวน ถ. กาญจนาภิเษก แขวงดอกไม้  เขตประเวศ  กรุงเทพ,"ประเวศ, ประเวศ, กรุงเทพมหานคร",118 ตร.ว.,4,6,"19,900,000"
ขายด่วนจ้า!!  บ้านเดี่ยว**หลังมุม** หมู่บ้าน มัณฑนา กัลปพฤกษ์-วงแหวน,"บางแค, บางแค, กรุงเทพมหานคร",73.3 ตร.ว.,4,3,"12,900,000"
ขายบ้านแฝด ศุภาลัย เพชรเกษม 69 ถนนเพชรเกษม เขตหนองแขม กรุงเทพมหานคร,"หนองแขม, หนองแขม, กรุงเทพมหานคร",38 ตร.ว.,3,2,"4,200,000"
ขายถูกมาก บ้านเดี่ยว เนื้อที่ 81 ตารางวา  ม. ฟลอร่าวิลล์  สุวินทวงศ์ 38   ทำเลใกล้ มีนบุรี นิมิตรใหม่ ร่มเกล้า ลาดกระบัง หนองจอก คู้ซ้าย คู้ขวา เชื่อมสัมพันธ์ เจ้าคุณทหาร ฉลองกรุง นิคมอุตสาหกรรมลาดกระบัง ถนนกรุงเทพกรีฑาตัดใหม่ สนามบินสุวรรณภูมิ  - เนื้อที่,"หนองจอก, หนองจอก, กรุงเทพมหานคร","43,103.6 ตร.ว.",3,2,"3,500,000"
ขาย บ้านเดี่ยว 2 ชั้น หมู่บ้าน โรยัล ปาร์ควิลล์ สุวินทวงศ์ (Royal Park Ville Suwinthawong) สุวินทวงศ์ 44 รีโนเวทใหม่ทั้งหลัง  สวยพร้อมอยู่ ใกล้ หนองจอก มีนบุรี  ถนนเชื่อมสัมพันธ์ คุ้มเกล้า ฉลองกรุง ร่มเกล้า เจ้าคุณทหาร ลาดกระบัง  สนามบินสุวรรณภูมิ กรุงเทพ,"หนองจอก, หนองจอก, กรุงเทพมหานคร","62,008.1 ตร.ว.",3,2,"3,100,000"
ขายบ้านกลางเมืองลาดพร้าว แยกรัชดา-ลาดพร้าว ราคาถูกมาก ขายขาดทุน ใกล้ MRT ลาดพร้าว ทำเลดี เหมาะทำเป็นออฟฟิศบริษัท หรือบ้านพักอาศัย,"จันทรเกษม, จตุจักร, กรุงเทพมหานคร",23.5 ตร.ว.,4,4,"13,500,000"
บ้านสวยทำเลดีมาแล้ว!!! ขายถูก บ้านเดี่ยว หมู่บ้าน คาซ่าวิลล์ สุขาภิบาล 5 ตกแต่งสวนสวย 4 ห้องนอน 3 ห้องน้ำ เดินทางสะดวก บ้านสวย พร้อมเข้าอยู่,"สายไหม, สายไหม, กรุงเทพมหานคร",57.5 ตร.ว.,4,3,"5,300,000"
ขาย บ้านเดี่ยว หมู่บ้าน เสนานิเวศน์ 2 ถ. เกษตร-นวมินทร์ พื้นที่ 70 ตร. ว. 4 ห้องนอน 2 ห้องน้ำ เดินทางสะดวก พร้อมเข้าอยู่,"จรเข้บัว, ลาดพร้าว, กรุงเทพมหานคร",70 ตร.ว.,4,2,"9,500,000"
ขายบ้าน หมู่บ้านลดาวัลย์  ติดถนน กาญจนาภิเษก บ้านสวย แต่งครบ,"บางแค, บางแค, กรุงเทพมหานคร",104.5 ตร.ว.,3,3,"12,190,000"
